taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
107180	Notolabrus celidotus	Notolabrus	Labridae	Labridae	259	eligible_not_selected			0	0.301386	78	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
63597	Novaculichthys taeniourus	Novaculichthys	Labridae	Labridae	290	eligible_not_selected			0	0.301386	87	200	reserve_backfill	near_minimum_or_projection_uncertain
112145	Scarus frenatus	Scarus	Labridae	Labridae	322	eligible_not_selected			0	0.301386	97	200	reserve_backfill	near_minimum_or_projection_uncertain
49690	Scarus iseri	Scarus	Labridae	Labridae	536	eligible_not_selected			0	0.301386	162	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
112166	Scarus taeniopterus	Scarus	Labridae	Labridae	332	eligible_not_selected			0	0.301386	100	200	reserve_backfill	near_minimum_or_projection_uncertain
112169	Scarus vetula	Scarus	Labridae	Labridae	383	eligible_not_selected			0	0.301386	115	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
112858	Sparisoma aurofrenatum	Sparisoma	Labridae	Labridae	502	eligible_not_selected			0	0.301386	151	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
112860	Sparisoma cretense	Sparisoma	Labridae	Labridae	823	eligible_not_selected			0	0.301386	248	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
112864	Sparisoma rubripinne	Sparisoma	Labridae	Labridae	300	eligible_not_selected			0	0.301386	90	200	reserve_backfill	near_minimum_or_projection_uncertain
52554	Symphodus tinca	Symphodus	Labridae	Labridae	463	eligible_not_selected			0	0.301386	140	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
1561489	Thalassoma amblycephalum	Thalassoma	Labridae	Labridae	331	eligible_not_selected			0	0.301386	100	200	reserve_backfill	near_minimum_or_projection_uncertain
113973	Thalassoma duperrey	Thalassoma	Labridae	Labridae	290	eligible_not_selected			0	0.301386	87	200	reserve_backfill	near_minimum_or_projection_uncertain
